building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
609 15th Ave SE,#101,609 15th Ave SE Minneapolis MN 55414,4,3,$3300.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43517,"9 Foot Ceilings, Dishwasher, Oven, Refrigerator, Laundry On-Site"
609 15th Ave SE,#201,609 15th Ave SE Minneapolis MN 55414,4,4,$3300.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43517,"9 Foot Ceilings, Dishwasher, Oven, Refrigerator, Laundry On-Site"
609 15th Ave SE,#301,609 15th Ave SE Minneapolis MN 55414,4,4,$3300.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43517,"9 Foot Ceilings, Dishwasher, Oven, Refrigerator, Laundry On-Site"
609 15th Ave SE,#401,609 15th Ave SE Minneapolis MN 55414,4,4,$3300.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43517,"9 Foot Ceilings, Dishwasher, Oven, Refrigerator, Laundry On-Site"
804 13th Ave SE - 2025 Fall Special - ALL UTILITIES PAID,,804 13th Ave SE Minneapolis MN 55414,4,2,$2780.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9565,"Oven, Porch, Refrigerator, Walking Distance to Class, Washer & Dryer, Deck"
,,2524 Cole Ave SE Minneapolis MN 55414 USA,5,2,Call For Price,,Call for Availability,https://listings.umn.edu/city/minneapolis-mn/listing/230640,
,#1,814 6th Ave SE Minneapolis MN 55414 USA,5,2,$3250.00,2100,Now,https://listings.umn.edu/city/minneapolis-mn/listing/230525,"Air Conditioning, Central Heat and Air Conditioning, Dishwasher, Fresh Paint, Granite Countertops, Hardwood Floors, Microwave, New Cabinets, New Windows"
,303 5th Ave SE,303 5th Ave SE Minneapolis MN 55414,6,3,$3795.00,2960,Now,https://listings.umn.edu/city/minneapolis-mn/listing/38224,"Oven, Pantry, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Walk-in Closet"
,Best House on Campus 4 bedroom 2 bath 2 stall garage,841 19th Ave SE Minneapolis MN 55414,4,2,$2700.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/70959,"Air Conditioning, Dishwasher, Refrigerator, Washer & Dryer, Deck"
,UNIT 3,1205 Talmage Ave SE Minneapolis MN 55414,6,3,$3696.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/85044,"Air Conditioning, 24 Hour Emergency Maintenance"
,Upper,608 6th Ave SE Minneapolis MN 55414 USA,4,2,$2300.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/108418,Air Conditioning
,Lower,1110 13th Ave SE Minneapolis MN 55414,5,2,$3150.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58535,"Air Conditioning, Oven, Refrigerator, Washer & Dryer, 24 Hour Emergency Maintenance, No Pets Allowed"
,1318,1318 7th St SE Minneapolis MN 55414,5,3,$600.00 - $700.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43215,"9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Dishwasher, Fireplace, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, New Carpet, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room, On Bus Line, On-Site Storage, Pets Allowed, Deck, Fire Pit, Yard"
,Single or Double Occupancy,1320 7th St SE Minneapolis MN 55414,1,2,$590.00 - $700.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/43213,"9 Foot Ceilings, Bedrooms Keyed Separately, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room"
,1105-2,1105 8th St SE Minneapolis MN 55414 United States,5,2,$2600.00,2725,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/54284,"Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Dining Room, Dishwasher, Garbage Disposal, Microwave, New Carpet, Oven, Oversized Windows, Pantry, Patio, Porch, Private Balcony, Private Bathrooms, Private Patio, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, On Bus Line, On-Site Storage, Deck"
,1105-1,1105 8th St SE Minneapolis MN 55414 United States,4,2,$2440.00,2500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/54284,"Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Dining Room, Dishwasher, Garbage Disposal, Microwave, New Carpet, Oven, Oversized Windows, Pantry, Patio, Porch, Private Balcony, Private Bathrooms, Private Patio, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, On Bus Line, On-Site Storage, Deck"
,Flex,1814 11th Ave S Minneapolis MN 55404,3,1,$500.00 - $510.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
,1814-4,1814 11th Ave S Minneapolis MN 55404,3,1,$525.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
,1814-5,1814 11th Ave S Minneapolis MN 55404,3,1,$510.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
,1814-1,1814 11th Ave S Minneapolis MN 55404,2,1,$610.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
,1814-2,1814 11th Ave S Minneapolis MN 55404,1,1,$925.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
