,Name,Floor Plan,Address,Bedrooms,Bathrooms,Price,Size,Availability,Link,Amenities,AmenitiesID
166,Factory Lofts,4 Bedroom,2655 Essex St SE Minneapolis MN 55414 USA,4,4.0,687.5,1999.0,08-21-2026,https://listings.umn.edu/city/minneapolis-mn/listing/111072,"14 Foot Ceilings, Air Conditioning, Ample Closet Space, Built-in Cabinets, Ceiling Fans, Central Heat and Air Conditioning, Dishwasher, Electronic Key System, Exposed Brick Walls, Fresh Paint, Furnished Packages Available, Granite Countertops, High Ceilings, In Bedroom Vanity w Sink, Individual Leases, Individual Leases Offered, International Student Friendly Housing, Keyless Entry, Marble Bathrooms, Microwave, New Cabinets, New Windows, Oven, Oversized Windows, Pantry, Parking Available, Polished Cement Floors, Polished Concrete Floors, Private Bathrooms, Recessed Lighting, Refrigerator, Roommate Matching Available, Security Cameras On Site, Sound Barrier Construction, Stainless Steel Kitchen Appliances, Tech Packages, Utility Closet, Vaulted Ceilings, Walk-in Closet, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, 24 Hour Emergency Maintenance, 24 hour Fitness Center, ADA Accessible, Alarm System, Business Center, Cable Ready, Cats, Clubhouse, Coffee Bar, Common Area Wi-Fi, Conference Rooms, Controlled Building Access, Cyber Lounge, Cycling and Yoga Studio with Virtual Training Software, Dogs, Entertainment Room, Entrance Secured, Entry Intercom Systems, Fiber Optic data service available, Fitness Center, Foosball Table, Free Coffee Cookies & Doughnuts Daily, Free Starbucks, Game Room, Gaming Lounge, Group Study, Internet Ready, Media Lounge, Multi-Purpose Room, No Carpeting, No Smoking Allowed, On Bus Line, On-Site Maintenance, On-Site Storage, Package Lockers, Penthouse Lounge, Pets Allowed, Pets Negotiable, Property Manager On Site, Rent By The Bed, Social Events, Study Room, TV Lounge, Tech Station, Video Gaming Consoles, Yoga Facility, Bike Path, Rooftop Terrace, Walking Trail",[]
418,2622 Essex,#101,2622 Essex St SE Minneapolis MN 55414 USA,4,2.0,698.75,1400.0,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/61964,"9 Foot Ceilings, Air Conditioning, Ample Closet Space, Dishwasher, Furnished, Furnished Packages Available, Microwave, Oven, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, On Bus Line",[]
386,Tairrie House,J,609 SE Oak St Minneapolis MN 55414,4,2.0,694.0,1280.0,08-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/101114,"Air Conditioning, Bay Windows, Dishwasher, Garbage Disposal, Microwave, Oven, Refrigerator, 24 Hour Emergency Maintenance, Cable Ready, Conference Rooms, Laundry On-Site, Study Room, 24 Hour Entry System, Outdoor Seating",[]
74,University Village,C - Private Bedroom,2515 University Ave SE Minneapolis MN 55414,4,2.0,750.0,1261.0,Now,https://listings.umn.edu/city/minneapolis-mn/listing/10336,"Air Conditioning, Ample Closet Space, Carpet, Dishwasher, Garbage Disposal, Individual Leases, Individual Leases Offered, International Student Friendly Housing, Microwave, Oven, Pantry, Parking Available, Private Bathrooms, Refrigerator, Roommate Matching Available, Security Cameras On Site, Walk-in Closet, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, 24 hour Fitness Center, After Hours Security Guard, Billiards, Common Area Wi-Fi, Computer Lab, Courtesy Patrol Officer, Elevator, Entrance Secured, Fitness Center, Foosball Table, Free Coffee Cookies & Doughnuts Daily, Free Printing, Game Room, Gaming Lounge, No Pets Allowed, On Bus Line, On-Site Maintenance, Ping Pong, Property Manager On Site, Social Events, Study Room, TV Lounge, Vending Machines, Grill, Outdoor Seating, Picnic Area",[]
6,Doyle Apartments,707,1307 4th Street SE Minneapolis MN 55414 USA,4,2.0,795.0,1192.0,08-25-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115626,"9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Dishwasher, Furnished, Granite Countertops, Keyless Entry, Microwave, Oven, Parking Available, Refrigerator, Stainless Steel Kitchen Appliances, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, 24 hour Fitness Center, Cats, Clubhouse, Coffee Bar, Common Area Wi-Fi, Dogs, Fitness Center, Free Printing, Group Study, Media Lounge, Pets Allowed, Property Manager On Site, Recording Studio, Sauna, Social Events, Study Room, Vehicle Charging Station, Vending Machines, Solar Panels, Full Size Beds, Ice Maker, Courtyard, Grill, Hot Tub",[]
93,Golden Lodge,The Swede,621 15th Ave SE Minneapolis MN 55414,4,3.0,695.0,1600.0,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9548,"Air Conditioning, Bedrooms Keyed Separately, Breakfast Bar, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Closet Organizers, Custom Tile Backsplash, Dishwasher, Fireplace, Flat-Screen TV, Hardwood Floors, Keyless Entry, Microwave, New Cabinets, Oven, Pantry, Porch, Private Balcony, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Deck, Gazebo, Outdoor Seating",[]
102,Chateau Student Housing Cooperative,907,425 13th Ave SE Minneapolis MN 55414 USA,4,2.0,611.25,1100.0,Now,https://listings.umn.edu/city/minneapolis-mn/listing/26283,"Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Microwave, Oven, Oversized Windows, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, Wood Plank Flooring, 24 Hour Emergency Maintenance, 24 hour Fitness Center, Cats, Clubhouse, Common Area Wi-Fi, Computer Lab, Conference Rooms, Elevator, Entrance Secured, Entry Intercom Systems, Fitness Center, Game Room, Internet Ready, Laundry On-Site, Laundry Room, On Bus Line, On-Site Maintenance, On-Site Storage, Ping Pong, Property Manager On Site, Rooftop Accessibility, Study Room, Zipcar Ride Share, Garage Parking, Basketball Court, Bike Path, Courtyard, Deck, Outdoor Seating, Picnic Area, Rooftop Terrace",[]
38,The Knoll Dinkytown,D1,1101 University Ave SE Minneapolis MN 55414,4,4.0,955.0,1596.0,08-19-2026,https://listings.umn.edu/city/minneapolis-mn/listing/10036,"Custom Tile Backsplash, Furnished, Granite Countertops, Oversized Windows, Parking Available, Private Bathrooms, Washer & Dryer, Business Center, Cats, Clubhouse, Game Room, Study Room, Yoga Facility, Courtyard, Rooftop Terrace",[]
51,The Bridges Dinkytown,D1,930 University Ave SE Minneapolis MN 55414,4,4.0,955.0,1626.0,08-21-2026,https://listings.umn.edu/city/minneapolis-mn/listing/10041,"Custom Tile Backsplash, Furnished, Granite Countertops, Individual Leases, Microwave, Oven, Private Bathrooms, Refrigerator, Roommate Matching Available, Washer & Dryer, Business Center, Cats, Clubhouse, Dogs, Fitness Center, Game Room, Movie Theater, Study Room, Tanning, Yoga Facility, Grill, Rooftop Terrace",[]
19,Bierman Place,The Quad - By-the-bed,1401 6th Street SE Minneapolis MN 55414 USA,4,2.0,650.0,0.0,Call for Availability,https://listings.umn.edu/city/minneapolis-mn/listing/11676,"Bedrooms Keyed Separately, Breakfast Bar, Dishwasher, Furnished Packages Available, Garbage Disposal, Individual Leases, Microwave, Oven, Pantry, Parking Available, Partially Furnished, Refrigerator, Roommate Matching Available, Walking Distance to Class, Window Treatments & Coverings, 24 Hour Emergency Maintenance, Billiards, Business Center, Coffee Bar, Common Area Wi-Fi, Controlled Building Access, Elevator, Fitness Center, Gaming Lounge, Laundry On-Site, Laundry Room, On-Site Maintenance, Rent By The Bed, Social Events, Study Room, TV Lounge, Vending Machines, Outdoor Seating, Outside Grilling Terrace with Fire Pits, Picnic Area",[]
