building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
The Quad on Delaware,B1 - 2 Bedroom 2 Bath,2508 Delaware Street SE Minneapolis MN 55414,2,2,849.00,806,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/44172,"{Garbage Disposal, Parking Available, 24 Hour Emergency Maintenance, Business Center, Cats, Common Area Wi-Fi, Controlled Building Access, Dogs, Fitness Center, Free Printing, Package Lockers, Pets Allowed, Study Room, Tanning, Yoga Facility, Arcade Game Emulator}"
The Quad on Delaware,B1R - Renovated 2 Bedroom 2 Bath,2508 Delaware Street SE Minneapolis MN 55414,2,2,899.00,806,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/44172,"{Garbage Disposal, Parking Available, 24 Hour Emergency Maintenance, Business Center, Cats, Common Area Wi-Fi, Controlled Building Access, Dogs, Fitness Center, Free Printing, Package Lockers, Pets Allowed, Study Room, Tanning, Yoga Facility, Arcade Game Emulator}"
The Quad on Delaware,C1 - 3 Bedroom 3 Bath,2508 Delaware Street SE Minneapolis MN 55414,3,3,669.00,1035,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/44172,"{Garbage Disposal, Parking Available, 24 Hour Emergency Maintenance, Business Center, Cats, Common Area Wi-Fi, Controlled Building Access, Dogs, Fitness Center, Free Printing, Package Lockers, Pets Allowed, Study Room, Tanning, Yoga Facility, Arcade Game Emulator}"
The Quad on Delaware,C1R - Renovated 3 Bedroom 3 Bath,2508 Delaware Street SE Minneapolis MN 55414,3,3,739.00,1035,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/44172,"{Garbage Disposal, Parking Available, 24 Hour Emergency Maintenance, Business Center, Cats, Common Area Wi-Fi, Controlled Building Access, Dogs, Fitness Center, Free Printing, Package Lockers, Pets Allowed, Study Room, Tanning, Yoga Facility, Arcade Game Emulator}"
The Quad on Delaware,D1 - 4 Bedroom 4 Bath,2508 Delaware Street SE Minneapolis MN 55414,4,4,599.00,1239,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/44172,"{Garbage Disposal, Parking Available, 24 Hour Emergency Maintenance, Business Center, Cats, Common Area Wi-Fi, Controlled Building Access, Dogs, Fitness Center, Free Printing, Package Lockers, Pets Allowed, Study Room, Tanning, Yoga Facility, Arcade Game Emulator}"
The Quad on Delaware,D1R - Renovated 4 Bedroom 4 Bath,2508 Delaware Street SE Minneapolis MN 55414,4,4,649.00,1239,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/44172,"{Garbage Disposal, Parking Available, 24 Hour Emergency Maintenance, Business Center, Cats, Common Area Wi-Fi, Controlled Building Access, Dogs, Fitness Center, Free Printing, Package Lockers, Pets Allowed, Study Room, Tanning, Yoga Facility, Arcade Game Emulator}"
The Pavilion on Berry,2 Bedroom 2 Bath,950 Jefferson Commons Cir Saint Paul MN 55114-8634,2,2,849.00,,04-12-2026,https://listings.umn.edu/city/minneapolis-mn/listing/10044,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Breakfast Bar, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Closet Organizers, Dishwasher, Flat-Screen TV, Fresh Paint, Furnished, Furnished Packages Available, Garbage Disposal, Hardwood Floors, Individual Leases, Microwave, Oven, Parking Available, Patio, Private Balcony, Private Bathrooms, Refrigerator, Roommate Matching Available, Security Cameras On Site, Soaking Tub, Utility Closet, Walk-in Closet, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, 24 hour Fitness Center, Billiards, Business Center, Cable Ready, Cats, Clubhouse, Coffee Bar, Common Area Wi-Fi, Computer Lab, Courtesy Patrol Officer, Dogs, Elevator, Entertainment Room, Entrance Secured, Fitness Center, Free Printing, Free Tanning, Group Study, Internet Ready, Laundry On-Site, On Bus Line, On-Site Maintenance, Pet Stations, Pets Allowed, Property Manager On Site, Social Events, TV Lounge, Tanning, Vending Machines, Courtyard, Fire Pit, Grill, Outdoor Seating, Outside Grilling Terrace with Fire Pits}"
The Pavilion on Berry,2 Bedroom 2 Bath Suite,950 Jefferson Commons Cir Saint Paul MN 55114-8634,2,2,940.00,,04-12-2026,https://listings.umn.edu/city/minneapolis-mn/listing/10044,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Breakfast Bar, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Closet Organizers, Dishwasher, Flat-Screen TV, Fresh Paint, Furnished, Furnished Packages Available, Garbage Disposal, Hardwood Floors, Individual Leases, Microwave, Oven, Parking Available, Patio, Private Balcony, Private Bathrooms, Refrigerator, Roommate Matching Available, Security Cameras On Site, Soaking Tub, Utility Closet, Walk-in Closet, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, 24 hour Fitness Center, Billiards, Business Center, Cable Ready, Cats, Clubhouse, Coffee Bar, Common Area Wi-Fi, Computer Lab, Courtesy Patrol Officer, Dogs, Elevator, Entertainment Room, Entrance Secured, Fitness Center, Free Printing, Free Tanning, Group Study, Internet Ready, Laundry On-Site, On Bus Line, On-Site Maintenance, Pet Stations, Pets Allowed, Property Manager On Site, Social Events, TV Lounge, Tanning, Vending Machines, Courtyard, Fire Pit, Grill, Outdoor Seating, Outside Grilling Terrace with Fire Pits}"
The Pavilion on Berry,4 Bedroom 4 Bath,950 Jefferson Commons Cir Saint Paul MN 55114-8634,4,4,609.00,,04-12-2026,https://listings.umn.edu/city/minneapolis-mn/listing/10044,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Breakfast Bar, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Closet Organizers, Dishwasher, Flat-Screen TV, Fresh Paint, Furnished, Furnished Packages Available, Garbage Disposal, Hardwood Floors, Individual Leases, Microwave, Oven, Parking Available, Patio, Private Balcony, Private Bathrooms, Refrigerator, Roommate Matching Available, Security Cameras On Site, Soaking Tub, Utility Closet, Walk-in Closet, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, 24 hour Fitness Center, Billiards, Business Center, Cable Ready, Cats, Clubhouse, Coffee Bar, Common Area Wi-Fi, Computer Lab, Courtesy Patrol Officer, Dogs, Elevator, Entertainment Room, Entrance Secured, Fitness Center, Free Printing, Free Tanning, Group Study, Internet Ready, Laundry On-Site, On Bus Line, On-Site Maintenance, Pet Stations, Pets Allowed, Property Manager On Site, Social Events, TV Lounge, Tanning, Vending Machines, Courtyard, Fire Pit, Grill, Outdoor Seating, Outside Grilling Terrace with Fire Pits}"
The Pavilion on Berry,4 Bedroom 2 Bath,950 Jefferson Commons Cir Saint Paul MN 55114-8634,4,2,545.00,,04-12-2026,https://listings.umn.edu/city/minneapolis-mn/listing/10044,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Breakfast Bar, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Closet Organizers, Dishwasher, Flat-Screen TV, Fresh Paint, Furnished, Furnished Packages Available, Garbage Disposal, Hardwood Floors, Individual Leases, Microwave, Oven, Parking Available, Patio, Private Balcony, Private Bathrooms, Refrigerator, Roommate Matching Available, Security Cameras On Site, Soaking Tub, Utility Closet, Walk-in Closet, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, 24 hour Fitness Center, Billiards, Business Center, Cable Ready, Cats, Clubhouse, Coffee Bar, Common Area Wi-Fi, Computer Lab, Courtesy Patrol Officer, Dogs, Elevator, Entertainment Room, Entrance Secured, Fitness Center, Free Printing, Free Tanning, Group Study, Internet Ready, Laundry On-Site, On Bus Line, On-Site Maintenance, Pet Stations, Pets Allowed, Property Manager On Site, Social Events, TV Lounge, Tanning, Vending Machines, Courtyard, Fire Pit, Grill, Outdoor Seating, Outside Grilling Terrace with Fire Pits}"
