building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
609 15th Ave SE,#101,609 15th Ave SE Minneapolis MN 55414,4,3,3300.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43517,"{9 Foot Ceilings, Air Conditioning, Dishwasher, Oven, Parking Available, Refrigerator, 24 Hour Emergency Maintenance, Laundry On-Site}"
609 15th Ave SE,#201,609 15th Ave SE Minneapolis MN 55414,4,4,3300.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43517,"{9 Foot Ceilings, Air Conditioning, Dishwasher, Oven, Parking Available, Refrigerator, 24 Hour Emergency Maintenance, Laundry On-Site}"
609 15th Ave SE,#301,609 15th Ave SE Minneapolis MN 55414,4,4,3300.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43517,"{9 Foot Ceilings, Air Conditioning, Dishwasher, Oven, Parking Available, Refrigerator, 24 Hour Emergency Maintenance, Laundry On-Site}"
Urban Canopies LLC,DUPLEX,1074 14th Ave SE Minneapolis MN 55414 USA,4,2,2600.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/108415,{}
612 10th Avenue SE,1st floor,612 10th Ave SE Minneapolis MN 55414 United States,4,2,2600.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9591,"{Air Conditioning, Breakfast Bar, Hardwood Floors, Oven, Parking Available, Porch, Private Balcony, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site, Yard}"
612 10th Avenue SE,2nd floor,612 10th Ave SE Minneapolis MN 55414 United States,4,2,3000.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9591,"{Air Conditioning, Breakfast Bar, Hardwood Floors, Oven, Parking Available, Porch, Private Balcony, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site, Yard}"
612 10th Avenue SE,3rd floor,612 10th Ave SE Minneapolis MN 55414 United States,4,1,1900.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9591,"{Air Conditioning, Breakfast Bar, Hardwood Floors, Oven, Parking Available, Porch, Private Balcony, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site, Yard}"
5 Bedroom House! 1078 16th Ave SE,,1078 16th Ave SE Minneapolis MN 55414 USA,5,2,2375.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/83458,{Hardwood Floors}
1509 - 1511 Rollins Ave SE,1509 Rollins Ave,1509 Rollins Ave SE Minneapolis MN 55414,5,2.5,3895.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38217,"{Dishwasher, Microwave, Oven, Porch, Refrigerator, Washer & Dryer}"
1509 - 1511 Rollins Ave SE,1511 Rollins Ave,1509 Rollins Ave SE Minneapolis MN 55414,6,2.5,4350.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38217,"{Dishwasher, Microwave, Oven, Porch, Refrigerator, Washer & Dryer}"
,,1021 24th Ave SE Minneapolis MN 55414 USA,3,1,1850.00,,09-03-2026,https://listings.umn.edu/city/minneapolis-mn/listing/234815,{}
,611-1,611 6th St SE Minneapolis MN 55414 USA,3,2,1995.00,2300,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/100062,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Dining Room, Dishwasher, Garbage Disposal, Microwave, New Carpet, Oven, Oversized Windows, Pantry, Parking Available, Patio, Porch, Private Balcony, Private Bathrooms, Private Patio, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, On Bus Line, On-Site Storage, Deck}"
,611-2,611 6th St SE Minneapolis MN 55414 USA,4,2,2180.00,2600,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/100062,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Dining Room, Dishwasher, Garbage Disposal, Microwave, New Carpet, Oven, Oversized Windows, Pantry, Parking Available, Patio, Porch, Private Balcony, Private Bathrooms, Private Patio, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, On Bus Line, On-Site Storage, Deck}"
,303 5th Ave SE,303 5th Ave SE Minneapolis MN 55414,6,3,3795.00,2960,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38224,"{Oven, Pantry, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Walk-in Closet}"
,Upper,1051 16th Ave SE Minneapolis MN 55414,4,1,1900.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58517,"{Hardwood Floors, Oven, Refrigerator, Walking Distance to Class, Laundry On-Site, No Pets Allowed, 24 Hour Emergency Maintenance}"
,Lower,1051 16th Ave SE Minneapolis MN 55414,3,1,1500.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58517,"{Hardwood Floors, Oven, Refrigerator, Walking Distance to Class, Laundry On-Site, No Pets Allowed, 24 Hour Emergency Maintenance}"
,1,617 14th Ave SE Minneapolis MN 55414 United States,3,1,2340.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43657,"{Air Conditioning, Bedrooms Keyed Separately, Dining Room, Dishwasher, Hardwood Floors, Keyless Entry, Oven, Parking Available, Private Balcony, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site, On Bus Line}"
,2,617 14th Ave SE Minneapolis MN 55414 United States,6,2,4350.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43657,"{Air Conditioning, Bedrooms Keyed Separately, Dining Room, Dishwasher, Hardwood Floors, Keyless Entry, Oven, Parking Available, Private Balcony, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site, On Bus Line}"
